#Function	Subsystem	Classification 1	Classification 2
LSU ribosomal protein L19p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L20p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L21p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L22p (L17e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L23p (L23Ae)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L24p (L26e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L25p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L27p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L28p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L29p (L35e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L30p (L7e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L31p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L32p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L33p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L34p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L35p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L36p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
Firmicutes ribosomal L7Ae family protein	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
Methanol:corrinoid methyltransferase	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Methanol methyltransferase corrinoid protein	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Methylcobalamin:coenzyme M methyltransferase, methanol-specific	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Monomethylamine permease	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Monomethylamine:corrinoid methyltransferase	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Monomethylamine methyltransferase corrinoid protein	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Dimethylamine permease	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Dimethylamine:corrinoid methyltransferase	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Dimethylamine methyltransferase corrinoid protein	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Trimethylamine permease	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Trimethylamine:corrinoid methyltransferase	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Trimethylamine methyltransferase corrinoid protein	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Methylcobalamin:coenzyme M methyltransferase, methylamine-specific	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
pyrrolysine-containing	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Methylthiol:coenzyme M methyltransferase	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Methylthiol:coenzyme M methyltransferase corrinoid protein	Methanogenesis_from_methylated_compounds	Carbohydrates	One-carbon Metabolism
Chaperone HdeA	Periplasmic_Acid_Stress_Response_in_Enterobacteria	Stress Response	Periplasmic Stress
Chaperone HdeB	Periplasmic_Acid_Stress_Response_in_Enterobacteria	Stress Response	Periplasmic Stress
Membrane transporter HdeD, H-NS repressed	Periplasmic_Acid_Stress_Response_in_Enterobacteria	Stress Response	Periplasmic Stress
Putative membrane transporter ATPase,YhiD	Periplasmic_Acid_Stress_Response_in_Enterobacteria	Stress Response	Periplasmic Stress
Transcriptional activator GadE	Periplasmic_Acid_Stress_Response_in_Enterobacteria	Stress Response	Periplasmic Stress
Anti anti-sigma regulatory factor SypA	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Outer membrane protein SypB	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Periplasmic protein SypC involved in polysaccharide export	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Predicted protein SypD	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Response regulator SypE	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Signal transduction histidine kinase SypF	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Sigma-54 dependent transcriptional regulator SypG	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Glycosyltransferase (EC 2.4.1.-) SypH	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Glycosyltransferase (EC 2.4.1.-) SypI	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Glycosyltransferase (EC 2.4.1.-) SypJ	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Oligosaccharide translocase SypK	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Membrane protein SypL involved in exopolysaccharide production	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Acetyltransferase SypM	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Glycosyltransferase SypN	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Polysaccharide biosynthesis chain length regulator SypO	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Glycosyltransferase SypP	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Glycosyltransferase SypQ	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Sugar transferase SypR involved in lipopolysaccharide synthesis	Symbiotic_colonization_and_sigma-dependent_biofilm_formation_gene_cluster	Regulation and Cell signaling	Quorum sensing and biofilm formation
Quercetin 3-O-methyltransferase 1 (EC 2.1.1.76)	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Dihydroflavonol-4-reductase (EC 1.1.1.219)	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Leucoanthocyanidin dioxygenase (EC 1.14.11.19)	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Putative anthocyanin 5-aromatic acyltransferase	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Flavonol 3-O-glucosyide L-rhamnosyltransferase (EC 2.4.1.159)	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Flavanone-3-hydroxylase (EC 1.14.13.21)	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Production of anthocyanin pigment 1 protein	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
production of anthocyanin pigment 2 protein (PAP2)	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Flavonol 3-O-glucosyltransferase (EC 2.4.1.91), putative	Anthocyanin_biosynthesis	Experimental Subsystems	Proposed Subsystem
Paratox	Prophage_lysogenic_conversion_modules	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Phage hyaluronidase	Prophage_lysogenic_conversion_modules	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Phage-associated cell wall hydrolase	Prophage_lysogenic_conversion_modules	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
_Toximoron (Other)	Prophage_lysogenic_conversion_modules	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
_Toximoron (Superantigen)	Prophage_lysogenic_conversion_modules	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Holin	Prophage_lysogenic_conversion_modules	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose/maltodextrin ABC transporter, permease protein MalF	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose/maltodextrin ABC transporter, permease protein MalG	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Glycogen phosphorylase (EC 2.4.1.1)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Malto-oligosyltrehalose synthase (EC 5.4.99.15)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Alpha-amylase (EC 3.2.1.1)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose operon periplasmic protein MalM	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Transcriptional activator of maltose regulon, MalT	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Oligo-1,6-glucosidase (EC 3.2.1.10)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Neopullulanase (EC 3.2.1.135)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Beta-phosphoglucomutase (EC 5.4.2.6)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltodextrin glucosidase (EC 3.2.1.20)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Alpha-glucosidase (EC 3.2.1.20)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Periplasmic alpha-amylase (EC 3.2.1.1)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose regulon modulator	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose regulon regulatory protein MalI (repressor for malXY)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Aldose 1-epimerase (EC 5.1.3.3)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltodextrin phosphorylase (EC 2.4.1.1)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Glucoamylase (EC 3.2.1.3)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Multiple sugar ABC transporter, ATP-binding protein	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose phosphorylase (EC 2.4.1.8)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Transcriptional regulator YcjW, LacI family, possibly involved in maltodextrin utilization pathway	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Putative oxidoreductase YcjS (EC 1.-.-.-), NADH-binding	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Sugar phosphate isomerases/epimerases family protein YcjR	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Zinc-type alcohol dehydrogenase YcjQ	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Putative sucrose phosphorylase (EC 2.4.1.7)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Inner membrane ABC transporter permease protein YcjP	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Inner membrane ABC transporter permease protein YcjO	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
ABC-type sugar transport system, periplasmic binding protein YcjN	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose O-acetyltransferase (EC 2.3.1.79)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose operon transcriptional repressor MalR, LacI family	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltodextrose utilization protein MalA	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose/maltodextrin ABC transporter 2, permease protein MalF2	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose/maltodextrin ABC transporter 2, permease protein MalG2	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose/maltodextrin ABC transporter 2, substrate binding periplasmic protein MalE2	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Pullulanase (EC 3.2.1.41)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose oligosaccharide ABC transporter, substrate binding periplasmic protein MalE1	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose oligosaccharide ABC transporter, permease protein MalF1	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltose oligosaccharide ABC transporter, permease protein MalG1	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
4-alpha-glucanotransferase MgtA (EC 2.4.1.25)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Maltodextrin glycosyltransferase MmtA	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Predicted maltose-specific TonB-dependent receptor	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Transcriptional regulator of maltose utilization, LacI family	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Predicted glucose transporter in maltodextrin utilization gene cluster	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
Predicted maltose transporter MalT	Maltose_and_Maltodextrin_Utilization	Carbohydrates	Di- and oligosaccharides
HipA protein	Persister_Cells	Dormancy and Sporulation	
Cell division inhibitor	Persister_Cells	Dormancy and Sporulation	
Ribosome modulation factor	Persister_Cells	Dormancy and Sporulation	
HipB protein	Persister_Cells	Dormancy and Sporulation	
Foxred 1 homolog	Foxred1	Experimental Subsystems	
ATP-dependent helicase DinG/Rad3	CBSS-211586.9.peg.1632	Clustering-based subsystems	
FIG011065: hypothetical protein	CBSS-211586.9.peg.1632	Clustering-based subsystems	
Primosomal replication protein N prime prime	CBSS-211586.9.peg.1632	Clustering-based subsystems	
Putative stomatin/prohibitin-family membrane protease subunit aq_911	Rtc	RNA Metabolism	RNA processing and modification
Translation elongation factor LepA	Rtc	RNA Metabolism	RNA processing and modification
Protein RtcB	Rtc	RNA Metabolism	RNA processing and modification
Protein with similarity to RtcB	Rtc	RNA Metabolism	RNA processing and modification
RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)	Rtc	RNA Metabolism	RNA processing and modification
Uncharacterized acetyltransferase YafP (EC 2.3.1.-)	Rtc	RNA Metabolism	RNA processing and modification
COG3541: Predicted nucleotidyltransferase	Rtc	RNA Metabolism	RNA processing and modification
RNA-2',3'-PO4:RNA-5'-OH ligase	Rtc	RNA Metabolism	RNA processing and modification
Archease	Rtc	RNA Metabolism	RNA processing and modification
Phosphoribosyl transferase domain protein	Rtc	RNA Metabolism	RNA processing and modification
Putative ribonucleoprotein related-protein TROVE Domain	Rtc	RNA Metabolism	RNA processing and modification
RtcB-like protein	Rtc	RNA Metabolism	RNA processing and modification
Exosome complex exonuclease RRP46 (EC 3.1.13.-)	Exosome	RNA Metabolism	RNA processing and modification
Aerotaxis sensor receptor protein	Bacterial_Chemotaxis	Motility and Chemotaxis	
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	Bacterial_Chemotaxis	Motility and Chemotaxis	
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	Bacterial_Chemotaxis	Motility and Chemotaxis	
Chemotaxis response - phosphatase CheZ	Bacterial_Chemotaxis	Motility and Chemotaxis	
Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)	Bacterial_Chemotaxis	Motility and Chemotaxis	
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	Bacterial_Chemotaxis	Motility and Chemotaxis	
Flagellar motor switch protein FliG	Bacterial_Chemotaxis	Motility and Chemotaxis	
