PTS system, 2-O-alpha-mannosyl-D-glycerate-specific IIB component	Carbohydrates	Di- and oligosaccharides	2-O-alpha-mannosyl-D-glycerate utilization
PTS system, 2-O-alpha-mannosyl-D-glycerate-specific IIC component	Carbohydrates	Di- and oligosaccharides	2-O-alpha-mannosyl-D-glycerate utilization
Alpha-mannosidase (EC 3.2.1.24)	Carbohydrates	Di- and oligosaccharides	2-O-alpha-mannosyl-D-glycerate utilization
2-aminophenol-1,6-dioxygenase, alpha subunit (EC 1.13.11.n1)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
2-aminophenol 1,6-dioxygenase, beta subunit (EC 1.13.11.n1)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
2-aminomuconate semialdehyde dehydrogenase (EC 1.2.1.32)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
2-aminomuconate deaminase (EC 3.5.99.5)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
4-oxalocrotonate decarboxylase (EC 4.1.1.77)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
2-keto-4-pentenoate hydratase (EC 4.2.1.80)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
RidA/YER057c/UK114 superfamily protein	Metabolism of Aromatic Compounds		2-aminophenol Metabolism
A-factor biosynthesis protein AfsA	Secondary Metabolism	Bacterial cytostatics, differentiation factors and antibiotics	2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone and other bacterial morphogens
Acyl coenzyme A dehydrogenase, BldA, contributes to the proper timing of aerial mycelium formation and antibiotic production	Secondary Metabolism	Bacterial cytostatics, differentiation factors and antibiotics	2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone and other bacterial morphogens
Inducers of aerial mycelium formation biosynthesis protein BldG	Secondary Metabolism	Bacterial cytostatics, differentiation factors and antibiotics	2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone and other bacterial morphogens
Pleiotropic negative regulator for morphological and physiological development in Streptomyces, BldD	Secondary Metabolism	Bacterial cytostatics, differentiation factors and antibiotics	2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone and other bacterial morphogens
Putative methyltransferase,bldM, influences various aspects of colony growth and development	Secondary Metabolism	Bacterial cytostatics, differentiation factors and antibiotics	2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone and other bacterial morphogens
2-methylaconitate racemase	Carbohydrates	Organic acids	2-methylcitrate to 2-methylaconitate metabolism cluster
2-Methylcitrate dehydratase AcnD	Carbohydrates	Organic acids	2-methylcitrate to 2-methylaconitate metabolism cluster
Phosphoglycolate phosphatase (EC 3.1.3.18)	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
Putative phosphatase YfbT	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
Putative phosphatase YqaB	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
Putative phosphatase YieH	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
2-deoxyglucose-6-phosphate hydrolase YniC	DNA Metabolism	DNA repair	2-phosphoglycolate salvage
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.n4)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
4-hydroxyphenylacetate symporter, major facilitator superfamily (MFS)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
Homoprotocatechuate degradative operon repressor	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
Transcriptional activator of 4-hydroxyphenylacetate 3-monooxygenase operon, XylS/AraC family	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway
5-Formyltetrahydrofolate cycloligase paralog implicated in thiamin metabolism	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
MTHFR (MetF)-like	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Serine hydroxymethyltransferase (EC 2.1.2.1)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Tetrahydromethanopterin-dependent serine hydroxymethyltransferase	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Glutamate formiminotransferase (EC 2.1.2.5)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Dihydrofolate reductase (EC 1.5.1.3)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Alternative dihydrofolate reductase 2	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Thiamin-phosphate synthase ThiN (EC 2.5.1.3)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Substrate-specific component ThiW of predicted thiazole ECF transporter	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Alcohol dehydrogenase (EC 1.1.1.1)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Thiamine-monophosphate kinase (EC 2.7.4.16)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Thiamine kinase (EC 2.7.1.89)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
YjbQ (alternate ThiE)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Amidohydrolase YlmB, involved in salvage of thiamin pyrimidine moiety	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein
5-Formyltetrahydrofolate cycloligase paralog implicated in thiamin metabolism	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like-OF
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like-OF
5-FCL-like protein, but predicted not to be 5-formyltetrahydrofolate cyclo-ligase (5-FCL)	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like-OF
5-FCL-like protein	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like-OF
Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC	Amino Acids and Derivatives	Proline and 4-hydroxyproline	A Hypothetical Protein Related to Proline Metabolism
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	Amino Acids and Derivatives	Proline and 4-hydroxyproline	A Hypothetical Protein Related to Proline Metabolism
TRAP transporter solute receptor, unknown substrate 1	Membrane Transport	TRAP transporters	A TRAP transporter and a hypothetical
TRAP transporter, 4TM/12TM fusion protein, unknown substrate 1	Membrane Transport	TRAP transporters	A TRAP transporter and a hypothetical
DUF1850 domain-containing protein	Membrane Transport	TRAP transporters	A TRAP transporter and a hypothetical
Conserved protein YcjX with nucleoside triphosphate hydrolase domain	Regulation and Cell signaling	Regulation of virulence	A conserved operon linked to TyrR and possibly involved in virulence
Membrane protein YcjF	Regulation and Cell signaling	Regulation of virulence	A conserved operon linked to TyrR and possibly involved in virulence
Antitoxin YafN	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	A toxin-antitoxin module cotranscribed with DinB
Toxin YafO	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	A toxin-antitoxin module cotranscribed with DinB
Uncharacterized acetyltransferase YafP (EC 2.3.1.-)	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	A toxin-antitoxin module cotranscribed with DinB
Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)
Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)
Phosphonate ABC transporter permease protein phnE (TC 3.A.1.9.1)	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)
Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)
Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1)	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)
Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)
Possible ABC transporter, periplasmic substrate X binding protein precursor	Membrane Transport	ABC transporters	ABC transporter of unknown substrate X
Putative ABC transporter of substrate X, ATP-binding subunit	Membrane Transport	ABC transporters	ABC transporter of unknown substrate X
Putative ABC transporter of substrate X, permease subunit I	Membrane Transport	ABC transporters	ABC transporter of unknown substrate X
Putative ABC transporter of substrate X, permease subunit II	Membrane Transport	ABC transporters	ABC transporter of unknown substrate X
Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)
ABC-type tungstate transport system, ATP-binding protein	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
ABC-type tungstate transport system, periplasmic binding protein	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
ABC-type tungstate transport system, permease protein	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
ABC-type vanadate transport system, ATP-binding protein	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
ABC-type vanadate transport system, periplasmic binding protein	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
ABC-type vanadate transport system, permease protein	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)
FIG005478: Porin, Gram-negative type	Iron acquisition and metabolism		ABC-type iron transport system
ABC-type Fe3+ transport system, periplasmic component	Iron acquisition and metabolism		ABC-type iron transport system
ABC-type spermidine/putrescine transport systems, ATPase components	Iron acquisition and metabolism		ABC-type iron transport system
ABC Fe3+ siderophore transporter, inner membrane subunit	Iron acquisition and metabolism		ABC-type iron transport system
AMP phosphohydrolase	Nucleosides and Nucleotides		AMP to 3-phosphoglycerate
Ribose-1,5-bisphosphate isomerase	Nucleosides and Nucleotides		AMP to 3-phosphoglycerate
Ribulose-1,5-bisphosphate carboxylase, Type III (EC 4.1.1.39)	Nucleosides and Nucleotides		AMP to 3-phosphoglycerate
Ribulose bisphosphate carboxylase (EC 4.1.1.39)	Nucleosides and Nucleotides		AMP to 3-phosphoglycerate
Uncharacterized protein COG3236			AOU COG3236
Possible alpha/beta hydrolase superfamily, sll0553 homolog			AOU COG3236
Anthranilate phosphoribosyltransferase (EC 2.4.2.18) like			AOU COG3236
Peptide ABC transporter, ATP-binding protein			AOU COG3236
ATP-dependent helicase DinG/Rad3			AOU COG3236
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)			AOU COG3236
GTP cyclohydrolase II (EC 3.5.4.25)			AOU COG3236
RNA:NAD 2'-phosphotransferase			AOU COG3236
NadR transcriptional regulator			AOU COG3236
Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1)			AOU COG3236
Ribosylnicotinamide kinase (EC 2.7.1.22)			AOU COG3236
Ribosyl nicotinamide transporter, PnuC-like			AOU COG3236
Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)			AOU COG3236
ATP synthase F0 sector subunit a (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase F0 sector subunit c (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase F0 sector subunit b' (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase F0 sector subunit b (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase delta chain (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase alpha chain (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase gamma chain (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase beta chain (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
ATP synthase epsilon chain (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit I (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit K (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit E (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit C (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit F (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit A (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit B (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit D (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
V-type ATP synthase subunit H (EC 3.6.3.14)	Respiration	ATP synthases	ATP Synthases HGM
Archaeal-type H+-ATPase subunit H	Respiration	ATP synthases	ATP Synthases HGM
ATP-dependent nuclease, subunit A	DNA Metabolism	DNA repair	ATP-dependent Nuclease
ATP-dependent nuclease, subunit B	DNA Metabolism	DNA repair	ATP-dependent Nuclease
DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase DbpA	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase YxiN	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase RhlB	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase RhlE	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase SrmB	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase VCA0061	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase VCA0768	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase VCA0990	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase VC1407	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase VVA0939	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase VF1437	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase SO1501	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase PA3950	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase NGO0650	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase Bcep18194_A5658	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
ATP-dependent RNA helicase Atu1833	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)	RNA Metabolism	RNA processing and modification	ATP-dependent RNA helicases, bacterial
