#Function	Subsystem	Classification 1	Classification 2
Salicylaldehyde dehydrogenase (EC 1.2.1.65)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Cyanophycin synthetase-like	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Cyanophycinase (EC 3.4.15.6)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Isoaspartyl dipeptidase (EC 3.4.19.5)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Cyanophycin synthase II	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Glutamate--cysteine ligase (EC 6.3.2.2)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Cyanophycinase (EC 3.4.15.6) dimer	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Cyanophycinase 2 (EC 3.4.15.6)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Secreted cyanophycinase CphE (EC 3.4.15.6)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines
Aromatic-ring-hydroxylating dioxygenase, beta subunit	CBSS-392499.4.peg.4257	Clustering-based subsystems	Hypothetical aromatic compound degradation cluster
Ring hydroxylating dioxygenase, alpha subunit/Rieske (2Fe-2S) protein (EC 1.14.12.18)	CBSS-392499.4.peg.4257	Clustering-based subsystems	Hypothetical aromatic compound degradation cluster
LysR-type transcriptional regulator NahR	CBSS-392499.4.peg.4257	Clustering-based subsystems	Hypothetical aromatic compound degradation cluster
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	CBSS-392499.4.peg.4257	Clustering-based subsystems	Hypothetical aromatic compound degradation cluster
Tetrachloroethene reductive dehalogenase PceA (EC 1.97.1.8)	Reductive_Dechlorination	Respiration	
Tetrachloroethene reductive dehalogenase PceA membrane-bound subunit	Reductive_Dechlorination	Respiration	
Tetrachloroethene reductive dehalogenase TceA	Reductive_Dechlorination	Respiration	
Tetrachloroethene reductive dehalogenase TceA membrane-bound subunit	Reductive_Dechlorination	Respiration	
membrane docking protein	Reductive_Dechlorination	Respiration	
Cell division protein FtsA	cell_division_core_of_larger_cluster	Clustering-based subsystems	Cell Division
Cell division protein FtsZ (EC 3.4.24.-)	cell_division_core_of_larger_cluster	Clustering-based subsystems	Cell Division
Cell division protein FtsQ	cell_division_core_of_larger_cluster	Clustering-based subsystems	Cell Division
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	cell_division_core_of_larger_cluster	Clustering-based subsystems	Cell Division
Iron(III) dicitrate transport protein FecA	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
Iron(III) dicitrate transmembrane sensor protein FecR	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
Iron(III) dicitrate transport system permease protein FecC (TC 3.A.1.14.1)	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
Iron(III) dicitrate transport system, periplasmic iron-binding protein FecB (TC 3.A.1.14.1)	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
RNA polymerase sigma factor FecI	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
Iron(III) dicitrate transport system permease protein FecD (TC 3.A.1.14.1)	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
Iron(III) dicitrate transport ATP-binding protein FecE (TC 3.A.1.14.1)	Iron(III)_dicitrate_transport_system_Fec	Virulence	Iron Scavenging Mechanisms
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Chorismate--pyruvate lyase (EC 4.1.3.40)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Ubiquinone biosynthesis monooxygenase UbiB	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
COGs COG3146	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
COG3536: Uncharacterized protein conserved in bacteria	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Ubiquinone biosynthesis enzyme COQ7	Experimental-Ubiquinone_BiosynthesisVDC	Experimental Subsystems	
Antitoxin 1	Toxin-Antitoxin_MT1		
Toxin 1, PIN domain	Toxin-Antitoxin_MT1		
Antitoxin 1a	Toxin-Antitoxin_MT1		
Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	Membrane Transport	ABC transporters
Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	Membrane Transport	ABC transporters
Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	Membrane Transport	ABC transporters
Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	Membrane Transport	ABC transporters
Phosphonate ABC transporter permease protein phnE (TC 3.A.1.9.1)	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	Membrane Transport	ABC transporters
Alpha-related fimbriae usher protein	&#945;-related_Fimbriae_in_Yersinia	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway
Alpha-related fimbriae minor subunit 1	&#945;-related_Fimbriae_in_Yersinia	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway
Alpha-related fimbriae minor subunit 2	&#945;-related_Fimbriae_in_Yersinia	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway
Alpha-related fimbriae major subunit	&#945;-related_Fimbriae_in_Yersinia	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway
Alpha-related fimbriae chaperone 1	&#945;-related_Fimbriae_in_Yersinia	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway
Alpha-related fimbriae chaperone 2	&#945;-related_Fimbriae_in_Yersinia	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway
FIG001674: hypothetical protein	CBSS-584.1.peg.2497	Clustering-based subsystems	A hypothetical (YfcN) clustering with an L3 methyltransferase, SixA and AroC
Ribosomal protein L3 methyltransferase	CBSS-584.1.peg.2497	Clustering-based subsystems	A hypothetical (YfcN) clustering with an L3 methyltransferase, SixA and AroC
Phosphohistidine phosphatase SixA	CBSS-584.1.peg.2497	Clustering-based subsystems	A hypothetical (YfcN) clustering with an L3 methyltransferase, SixA and AroC
Chorismate synthase (EC 4.2.3.5)	CBSS-584.1.peg.2497	Clustering-based subsystems	A hypothetical (YfcN) clustering with an L3 methyltransferase, SixA and AroC
Fucose permease	L-fucose_utilization	Carbohydrates	Monosaccharides
L-fucose isomerase (EC 5.3.1.25)	L-fucose_utilization	Carbohydrates	Monosaccharides
L-fucose mutarotase	L-fucose_utilization	Carbohydrates	Monosaccharides
L-fucose operon activator	L-fucose_utilization	Carbohydrates	Monosaccharides
L-fuculokinase (EC 2.7.1.51)	L-fucose_utilization	Carbohydrates	Monosaccharides
L-fuculose phosphate aldolase (EC 4.1.2.17)	L-fucose_utilization	Carbohydrates	Monosaccharides
Lactaldehyde reductase (EC 1.1.1.77)	L-fucose_utilization	Carbohydrates	Monosaccharides
Lactaldehyde dehydrogenase involved in fucose or rhamnose utilization (EC 1.2.1.22)	L-fucose_utilization	Carbohydrates	Monosaccharides
Alpha-L-fucosidase (EC 3.2.1.51)	L-fucose_utilization	Carbohydrates	Monosaccharides
Possible alternative L-fucose mutarotase	L-fucose_utilization	Carbohydrates	Monosaccharides
Transcriptional regulator of fucose utilization, GntR family	L-fucose_utilization	Carbohydrates	Monosaccharides
Predicted L-fucose-specific phosphotransferase system, EIIA component	L-fucose_utilization	Carbohydrates	Monosaccharides
Predicted L-fucose-specific phosphotransferase system, EIIB component	L-fucose_utilization	Carbohydrates	Monosaccharides
Predicted L-fucose-specific phosphotransferase system, EIIC component	L-fucose_utilization	Carbohydrates	Monosaccharides
Predicted L-fucose-specific phosphotransferase system, EIID component	L-fucose_utilization	Carbohydrates	Monosaccharides
Possible fucose ABC transporter, substrate-binding component	L-fucose_utilization	Carbohydrates	Monosaccharides
FIG002842: hypothetical protein	CBSS-562.2.peg.633	Clustering-based subsystems	Includes components of Type IV fibrial assembly
Dephospho-CoA kinase (EC 2.7.1.24)	CBSS-562.2.peg.633	Clustering-based subsystems	Includes components of Type IV fibrial assembly
Type IV fimbrial assembly protein PilC	CBSS-562.2.peg.633	Clustering-based subsystems	Includes components of Type IV fibrial assembly
Type IV fimbrial assembly, ATPase PilB	CBSS-562.2.peg.633	Clustering-based subsystems	Includes components of Type IV fibrial assembly
FIG003276: zinc-binding protein	CBSS-562.2.peg.633	Clustering-based subsystems	Includes components of Type IV fibrial assembly
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)	CBSS-562.2.peg.633	Clustering-based subsystems	Includes components of Type IV fibrial assembly
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	CBSS-314260.3.peg.2133	Nucleosides and Nucleotides	Purines
Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	CBSS-314260.3.peg.2133	Nucleosides and Nucleotides	Purines
Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	CBSS-314260.3.peg.2133	Nucleosides and Nucleotides	Purines
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	CBSS-314260.3.peg.2133	Nucleosides and Nucleotides	Purines
FIG040666: hypothetical protein perhaps implicated in de Novo purine biosynthesis	CBSS-314260.3.peg.2133	Nucleosides and Nucleotides	Purines
Adenylosuccinate lyase (EC 4.3.2.2)	CBSS-314260.3.peg.2133	Nucleosides and Nucleotides	Purines
Transposase	Transposases	Experimental Subsystems	Transposable elements
Transposase and inactivated derivatives	Transposases	Experimental Subsystems	Transposable elements
transposase	Transposases	Experimental Subsystems	Transposable elements
Transposase and inactivated derivatives, IS30 family	Transposases	Experimental Subsystems	Transposable elements
Transposase and inactivated derivatives, IS5 family	Transposases	Experimental Subsystems	Transposable elements
Transposase and inactivated derivative	Transposases	Experimental Subsystems	Transposable elements
TRANSPOSASE	Transposases	Experimental Subsystems	Transposable elements
Alpha-2-macroglobulin	CBSS-316273.3.peg.227	Clustering-based subsystems	
Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C	CBSS-316273.3.peg.227	Clustering-based subsystems	
Protein SseB	CBSS-316273.3.peg.227	Clustering-based subsystems	
Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	CBSS-316273.3.peg.227	Clustering-based subsystems	
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Lipoate synthase	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Putative oligoketide cyclase/lipid transport protein, similarity with yeast ubiquinone-binding protein YOL008W	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
RecA protein	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Similar to C-terminal domain of competence/damage-inducible protein CinA	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Transfer-messenger RNA (tmRNA) involved in trans-translation	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
UPF0125 protein yfjF	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
tmRNA-binding protein SmpB	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
FIG006442: Integral membrane protein	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Competence/damage-inducible protein CinA	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Lipoate-protein ligase A	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Competence/damage-inducible protein CinA family	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Lipoate-protein ligase A type 2	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Similar to N-terminal domain of competence/damage-inducible protein CinA, molybdopterin binding motif	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Competence/damage-inducible protein CinA family, archaeal branch	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	Experimental Subsystems	Plant-Prokaryote DOE project
Beta-carotene hydroxylase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Beta-carotene ketolase (EC 1.14.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Carotenoid cis-trans isomerase (EC 5.2.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Neurosporene desaturase (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene desaturase (EC 1.14.99.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene synthase (EC 2.5.1.32)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Pro-zeta-carotene desaturase, prolycopene producing (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Squalene--hopene cyclase (EC 5.4.99.17)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Zeaxanthin glucosyl transferase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Hydroxyneurosporene methyltransferase (EC 2.1.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Hydroxyneurosporene synthase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene beta cyclase (EC 1.14.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene dehydrogenase and related proteins	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene epsilon cyclase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene desaturase, neurosporene or lycopene producing (EC 1.3.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
CrtT-methyltransferase-like protein	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
CrtV-methyltransferase-like protein	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dehydrosqualene synthase (EC 2.5.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
4,4'-diapolycopene oxidase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Phytoene dehydrogenase (EC 1.14.99.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene cyclase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Lycopene elongase (EC 2.5.1.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
C50 carotenoid epsilon cyclase	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Methoxyneurosporene dehydrogenase (EC 1.14.99.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Regulator of carotenoid biosynthesis	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Hydroxyneurosporene dehydrogenase (EC 1.-.-.-)	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
gamma-carotene desaturase, putative	Carotenoids	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
